origin,dest,count
143,3627,7
143,3643,12
143,3749,34
143,3750,34
143,4010,29
143,4011,29
143,4031,12
143,4168,7
143,4197,17
143,4198,17
143,4199,17
143,4311,15
143,4394,7
143,4395,7
143,4396,14
143,4397,14
143,4561,15
143,4562,15
143,4607,9
143,4608,9
149,150,21
149,923,7
149,924,7
149,1227,11
150,149,21
150,923,7
150,924,7
150,1227,11
154,12,14
154,17,7
154,18,7
154,19,7
154,837,6
154,1038,8
154,1135,7
154,1167,8
154,1227,7
154,1529,18
154,1530,18
154,1531,18
154,2538,6
154,3442,9
154,3678,7
154,4010,6
154,4011,6
154,4017,10
154,4018,10
154,4311,6
154,4396,12
154,4397,12
159,646,33
159,722,10
159,923,31
159,924,31
159,1135,7
159,1200,8
159,1391,19
159,1392,19
159,1397,13
159,1398,13
159,1399,13
159,1529,110
159,1530,110
159,1531,110
159,2189,10
159,2478,7
159,2853,7
159,2854,7
159,3361,14
159,3362,14
159,3604,34
159,3939,12
159,4010,12
159,4011,12
159,4311,10
161,167,6
161,168,6
161,1446,7
161,2189,11
161,4311,13
162,2,6
162,12,6
162,163,719
162,172,6
162,173,6
162,414,8
162,415,8
162,646,8
162,744,18
162,764,16
162,767,9
162,777,15
162,778,15
162,779,15
162,782,6
162,783,6
162,837,23
162,923,27
162,924,27
162,968,8
162,969,8
162,1038,37
162,1088,9
162,1089,9
162,1090,9
162,1091,9
162,1114,13
162,1115,13
162,1116,13
162,1135,21
162,1227,30
162,1293,9
162,1294,9
162,1363,41
162,1364,41
162,1365,41
162,1391,6
162,1392,6
162,1446,7
162,1451,17
162,1484,9
162,1485,9
162,1486,9
162,1529,67
162,1530,67
162,1531,67
162,1535,17
162,1536,17
162,1544,10
162,1605,12
162,1608,19
162,1659,10
162,1672,14
162,1765,44
162,2013,6
162,2189,17
162,2270,8
162,2476,18
162,2477,18
162,2548,29
162,2549,29
162,2577,9
162,2807,6
162,2899,10
162,2900,10
162,3280,9
162,3449,6
162,3450,6
162,3451,6
162,3453,9
162,3454,9
162,3531,67
162,3532,67
162,3533,67
162,3627,18
162,3749,15
162,3750,15
162,3793,9
162,3941,10
162,3996,6
162,3997,6
162,4010,50
162,4011,50
162,4013,18
162,4014,18
162,4017,6
162,4018,6
162,4029,14
162,4196,9
162,4197,12
162,4198,12
162,4199,12
162,4206,16
162,4207,16
